norm_name;name;norm_reg;href;lat;long;okato;oktmo;people;square;height;phone_code;post_index;timezone;RegName;RegOKATO;RegPeople;RegSquare;adm_center;FedName;people2017;city_people;country_people
Новый Уренгой;Новый Уренгой;Ямало-Ненецкий;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9_%D0%A3%D1%80%D0%B5%D0%BD%D0%B3%D0%BE%D0%B9;66.08472222;76.67888889;71 176;71956000001;113254;111.0;40.0;73494;629300–629329;UTC+5;Ямало-Ненецкий АО;71140;536049.0;769250.0;Салехард;Уральский федеральный округ;;;
Каспийск;Каспийск;Дагестан;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D0%BF%D0%B8%D0%B9%D1%81%D0%BA;42.88333333;47.63333333;82 420;82720000001;113348;32.94;0.0;787246;377563;UTC+3;Дагестан;82;3041900.0;50270.0;Махачкала;Северо–Кавказский федеральный округ;113348;113348;
Обнинск;Обнинск;Калужская;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BD%D0%B8%D0%BD%D1%81%D0%BA;55.1;36.61666667;29 415;29715000001;113639;42.97;175.0;"+7 484
48439";;UTC+3;Калужская область;29;1014570.0;29777.0;Калуга;Центральный федеральный округ;113639;113639;
Октябрьский;Октябрьский;Башкортостан;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);54.48333333;53.48333333;80 435;80735000001;113929;98.83;140.0;734767;;UTC+5;Башкортостан;80;4066972.0;142947.0;Уфа;Приволжский федеральный округ;113929;113929;
Кызыл;Кызыл;Тыва;https://ru.wikipedia.org/wiki/%D0%9A%D1%8B%D0%B7%D1%8B%D0%BB;51.7;94.36666667;93 401;93701000001;116015;97.41;630.0;739422;;UTC+7;Тыва;93;318550.0;168604.0;Кызыл;Сибирский федеральный округ;116015;116015;
Назрань;Назрань;Ингушетия;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B7%D1%80%D0%B0%D0%BD%D1%8C;43.21666667;44.76666667;26 406;26706000001;116020;80.0;522.0;78732;386120;UTC+3;Ингушетия;26;480474.0;3628.0;Магас;Северо–Кавказский федеральный округ;116020;116020;
Димитровград;Димитровград;Ульяновская;https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B3%D1%80%D0%B0%D0%B4_(%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F);54.23333333;49.58333333;73 405;73705000001;116055;103.0;88.0;784235;4335хх;UTC+4;Ульяновская область;73;1252887.0;37181.0;Ульяновск;Приволжский федеральный округ;116055;116055;
Невинномысск;Невинномысск;Ставропольский;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D0%B8%D0%BD%D0%BD%D0%BE%D0%BC%D1%8B%D1%81%D1%81%D0%BA;44.63333333;41.93333333;7 424;07724000001;117676;100.4;320.0;786554;;UTC+3;Ставропольский край;7;2804383.0;66160.0;Ставрополь;Северо–Кавказский федеральный округ;117676;117676;
Орехово-Зуево ;Орехово-Зуево ;Московская;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B5%D1%85%D0%BE%D0%B2%D0%BE-%D0%97%D1%83%D0%B5%D0%B2%D0%BE;55.8;38.96666667;46 457;46757000001;119956;36.38;120.0;+7 49641 и +7 49642;;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;119956;119956;
Черкесск;Черкесск;Карачаево-Черкесия;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BA%D0%B5%D1%81%D1%81%D0%BA;44.21638889;42.0575;91 401;91701000001;122478;69.8;530.0;78782;369000;UTC+3;Карачаево-Черкесия;91;466432.0;14277.0;Черкесск;Северо–Кавказский федеральный округ;122478;122478;
Дербент;Дербент;Дагестан;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D0%B1%D0%B5%D0%BD%D1%82;42.06916667;48.29583333;82 410;82710000001;123162;69.63;0.0;787240;368600;UTC+3;Дагестан;82;3041900.0;50270.0;Махачкала;Северо–Кавказский федеральный округ;123162;123162;
Домодедово;Домодедово;Московская;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%BE%D0%B4%D0%B5%D0%B4%D0%BE%D0%B2%D0%BE_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);55.44388889;37.75805556;46 209 501;46709000001;124285;159.27;160.0;"+7 49679; 495 546-8x-xx";142000;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;124285;124285;
Первоуральск;Первоуральск;Свердловская;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D1%81%D0%BA;56.91666667;59.95;65 480;65753000001;124447;66.0;283.0;+7 3439[2];;UTC+5;Свердловская область;65;4329341.0;194307.0;Екатеринбург;Уральский федеральный округ;124447;124447;
Батайск;Батайск;Ростовская;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%82%D0%B0%D0%B9%D1%81%D0%BA;47.13333333;39.75;60 407;60707000001;124705;77.68;5.0;786354;;UTC+3;Ростовская область;60;4231355.0;100967.0;Ростов-на-Дону;Южный федеральный округ;124705;124705;
Новомосковск;Новомосковск;Тульская;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BC%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA_(%D0%A2%D1%83%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);54.03333333;38.26666667;70 424;70724000001;125647;74.7;240.0;748762;301650, 301651, 301652, 301653, 301654, 301655, 301656, 301657, 301658, 301659, 301660, 301661, 301662, 301663, 301664, 301665, 301666, 301667, 301668, 301669, 301670;UTC+3;Тульская область;70;1499417.0;25679.0;Тула;Центральный федеральный округ;125647;125647;
Щелково;Щёлково;Московская;https://ru.wikipedia.org/wiki/%D0%A9%D1%91%D0%BB%D0%BA%D0%BE%D0%B2%D0%BE;55.91666667;38.0;46 259 501;46659101001;125843;52.0;150.0;"+7 49656
+7 496 25";141100–141113;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;125843;125843;
Серпухов;Серпухов;Московская;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%BF%D1%83%D1%85%D0%BE%D0%B2;54.91666667;37.4;46 470;46770000001;125929;32.1;140.0;+7 496 7 (все номера начинаются на 1, 3 и 7);142200;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;125929;125929;
Новочебоксарск;Новочебоксарск;Чувашия;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%87%D0%B5%D0%B1%D0%BE%D0%BA%D1%81%D0%B0%D1%80%D1%81%D0%BA;56.11666667;47.5;97 410;97710000001;126072;51.14;90.0;78352;429955;UTC+3;Чувашия;97;1235863.0;18343.0;Чебоксары;Приволжский федеральный округ;126072;126072;
Нефтеюганск;Нефтеюганск;Югра;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%82%D0%B5%D1%8E%D0%B3%D0%B0%D0%BD%D1%81%D0%BA;61.1;72.6;71 134;71874000001;126157;154.0;40.0;73463;628300;UTC+5;Ханты-Мансийский АО — Югра;71100;1646078.0;534801.0;Ханты-Мансийск;Уральский федеральный округ;;;
