name;type;okato;oktmo;name2;sign_budget;oktmo_budget;name_budget;oktmo_parent;name_parent;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кунгаковский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204831000;80604431;Кунгаковский сельсовет;+;80604431;Кунгаковский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кшлау-Елгинский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204837000;80604437;Кшлау-Елгинский сельсовет;+;80604437;Кшлау-Елгинский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мутабашевский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204840000;80604440;Мутабашевский сельсовет;+;80604440;Мутабашевский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Петропавловский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204842000;80604442;Петропавловский сельсовет;+;80604442;Петропавловский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Султанбековский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204843000;80604443;Султанбековский сельсовет;+;80604443;Султанбековский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Урмиязовский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204846000;80604446;Урмиязовский сельсовет;+;80604446;Урмиязовский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Усть-Табасский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204850000;80604450;Усть-Табасский сельсовет;+;80604450;Усть-Табасский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аургазинский район Республики Башкортостан;муниципальный район;80205000000;80605000;Аургазинский муниципальный район;+;80605000;Аургазинский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
Балыклыкульский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205802000;80605402;Балыклыкульский сельсовет;+;80605402;Балыклыкульский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Батыровский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205804000;80605404;Батыровский сельсовет;+;80605404;Батыровский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бишкаинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205807000;80605407;Бишкаинский сельсовет;+;80605407;Бишкаинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ибраевский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205810000;80605410;Ибраевский сельсовет;+;80605410;Ибраевский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Исмагиловский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205813000;80605413;Исмагиловский сельсовет;+;80605413;Исмагиловский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ишлинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205816000;80605416;Ишлинский сельсовет;+;80605416;Ишлинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кебячевский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205819000;80605419;Кебячевский сельсовет;+;80605419;Кебячевский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Меселинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205822000;80605422;Меселинский сельсовет;+;80605422;Меселинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Михайловский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205825000;80605425;Михайловский сельсовет;+;80605425;Михайловский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нагадакский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205828000;80605428;Нагадакский сельсовет;+;80605428;Нагадакский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Новокальчировский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205831000;80605431;Новокальчировский сельсовет;+;80605431;Новокальчировский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Семенкинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205834000;80605434;Семенкинский сельсовет;+;80605434;Семенкинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Степановский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205837000;80605437;Степановский сельсовет;+;80605437;Степановский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Султанмуратовский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205840000;80605440;Султанмуратовский сельсовет;+;80605440;Султанмуратовский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Таштамакский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205843000;80605443;Таштамакский сельсовет;+;80605443;Таштамакский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Толбазинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205846000;80605446;Толбазинский сельсовет;+;80605446;Толбазинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тряпинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205849000;80605449;Тряпинский сельсовет;+;80605449;Тряпинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тукаевский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205852000;80605452;Тукаевский сельсовет;+;80605452;Тукаевский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Турумбетовский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205858000;80605458;Турумбетовский сельсовет;+;80605458;Турумбетовский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Уршакский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205861000;80605461;Уршакский сельсовет;+;80605461;Уршакский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чуваш-Карамалинский сельсовет муниципального района Аургазинский район Республики Башкортостан сельское поселение;сельское поселение;80205872000;80605472;Чуваш-Карамалинский сельсовет;+;80605472;Чуваш-Карамалинский сельсовет;80605000;Аургазинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
