;href;name;people;reg;lat;long;okato;oktmo;phone_code;post_ind;square;timezone
32;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B0%D0%BF%D1%81%D0%B5;Туапсе;62841;3;44.1;39.08333333;3432;3655101001;786167;352800;0;UTC+3
33;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;Лабинск;60889;3;44.63333333;40.73333333;3417;3630101001;786169;;0;UTC+3
34;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%BE%D1%80%D0%B5%D1%86%D0%BA;Тихорецк;58982;3;45.85;40.11666667;3429;3654101001;786196;;0;UTC+3
35;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BC%D1%81%D0%BA;Крымск;57254;3;44.93333333;38;3225;3625101001;786131;353380 — 353389;0;UTC+3
36;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D0%B0%D1%88%D1%91%D0%B2%D1%81%D0%BA;Тимашёвск;52527;3;45.61666667;38.93333333;3253501000;3653101001;786130;3527хх;0;UTC+3
37;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%81%D0%BA;Белореченск;52264;3;44.76666667;39.86666667;3406;3608101001;786155;352630 — 352636;0;UTC+3
38;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%BD%D1%81%D0%BA;Курганинск;48964;3;44.88333333;40.6;3227501000;3627101001;786147;;0;UTC+3
39;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;Каневская;44386;3;46.08333333;38.95;3220802001;3620402101;786164;;0;UTC+3
40;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B5%D0%BD%D0%BE%D0%B2%D1%81%D0%BA;Кореновск;41823;3;45.46666667;39.45;3221501000;3621101001;786142;;0;UTC+3
41;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%9B%D0%B0%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;Усть-Лабинск;41348;3;45.21527778;39.68944444;3257501000;3657101001;786135;352330;0;UTC+3
42;https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D1%88%D0%B5%D1%80%D0%BE%D0%BD%D1%81%D0%BA;Апшеронск;40239;3;44.46083333;39.74055556;3205501000;3605101001;786152;352690;0;UTC+3
43;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BC%D1%80%D1%8E%D0%BA;Темрюк;40108;3;45.26666667;37.38333333;3251501000;3651101001;786148;;0;UTC+3
44;https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;Абинск;37749;3;44.86666667;38.16666667;3201501000;3601101001;786150;;0;UTC+3
45;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_(%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D0%B0);Ленинградская;36940;3;46.32111111;39.39777778;3232810001;3632410101;786145;;0;UTC+3
46;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D1%8F%D1%87%D0%B8%D0%B9_%D0%9A%D0%BB%D1%8E%D1%87;Горячий Ключ;36807;3;44.63333333;39.13333333;3409;3709000001;786159;353290;0;UTC+3
47;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BA%D1%83%D0%B1%D0%B0%D0%BD%D1%81%D0%BA;Новокубанск;35437;3;45.1;41.05;3234501000;3634101001;786195;;0;UTC+3
48;https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F;Динская;34848;3;45.21666667;39.22472222;3214804001;3614404101;786162;;0;UTC+3
49;https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%BB%D1%8C%D0%BA%D0%B5%D0%B2%D0%B8%D1%87%D0%B8;Гулькевичи;34360;3;45.36027778;40.69444444;3213501000;3613101001;786160;352190;0;UTC+3
50;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE-%D0%90%D1%85%D1%82%D0%B0%D1%80%D1%81%D0%BA;Приморско-Ахтарск;31925;3;46.05;38.18333333;3241501000;3641101001;786143;353860–353866;0;UTC+3
51;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Павловская;31327;3;46.13333333;39.76666667;3239828001;3639428101;786191;;0;UTC+3
52;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F;Староминская;29809;3;46.53333333;39.05;3247813001;3647413101;786153;;0;UTC+3
53;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%89%D1%91%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;Кущёвская;28362;3;46.55;39.66666667;3228816001;3628416101;786168;;0;UTC+3
54;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;Полтавская;26626;3;45.36666667;38.21166667;3223810001;3623410101;786165;;0;UTC+3
55;https://ru.wikipedia.org/wiki/%D0%A2%D0%B1%D0%B8%D0%BB%D0%B8%D1%81%D1%81%D0%BA%D0%B0%D1%8F;Тбилисская;25317;3;45.36666667;40.2;3249819001;3649419101;786158;352360;0;UTC+3
56;https://ru.wikipedia.org/wiki/%D0%98%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9;Ильский;25306;3;44.85444444;38.57027778;3243555;3643155051;786166;;0;UTC+3
57;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9;Мостовской;25131;3;44.41361111;40.78972222;3233551;3633151051;786192;352570-352574;0;UTC+3
58;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D1%81%D0%BA%D0%B0%D1%8F;Северская;24867;3;44.85;38.66666667;3243813001;3643413101;786166;353240;0;UTC+3
59;https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B8%D0%B7%D0%B0%D0%B2%D0%B5%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Елизаветинская;24755;3;45.04805556;38.79277778;34019648;3701000131;;;0;UTC+3
60;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%82%D0%B8%D1%82%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;Новотитаровская;24754;3;45.23583333;38.97111111;3214816001;3614416101;786162;;0;UTC+3
61;https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_(%D0%9E%D1%82%D1%80%D0%B0%D0%B4%D0%BD%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);Отрадная;23204;3;44.39611111;41.525;3237813001;3637413101;786144;;0;UTC+3
62;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B4%D1%8B%D0%B6%D0%B5%D0%BD%D1%81%D0%BA;Хадыженск;22706;3;44.42388889;39.53722222;3205509;3605109001;786152;352680–352681;0;UTC+3
63;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%B2%D0%B5%D1%86%D0%BA%D0%B0%D1%8F;Брюховецкая;22139;3;45.80083333;39.00416667;3210807001;3610407101;786156;;0;UTC+3
64;https://ru.wikipedia.org/wiki/%D0%90%D1%85%D1%82%D1%8B%D1%80%D1%81%D0%BA%D0%B8%D0%B9;Ахтырский;20983;3;44.83333333;38.28333333;3201553;3601153051;786150;;0;UTC+3
65;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA;Красноярск;1083000;4;56.01194444;92.87138889;4401000000;4701000001;7391;660ххх;0;UTC+7
66;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%B8%D0%BB%D1%8C%D1%81%D0%BA;Норильск;177428;4;69.33333333;88.21666667;4429;4729000001;73919;;0;UTC+7
67;https://ru.wikipedia.org/wiki/%D0%90%D1%87%D0%B8%D0%BD%D1%81%D0%BA;Ачинск;105364;4;56.26666667;90.5;4403;4703000001;739151;662150—662165;0;UTC+7
68;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D1%81%D0%BA;Канск;90231;4;56.2;95.7;4420;4720000001;739161;6636**;0;UTC+7
69;https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Железногорск;84543;4;56.25;93.53333333;4535;4735000001;73919;662970;0;UTC+7
70;https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D1%83%D1%81%D0%B8%D0%BD%D1%81%D0%BA;Минусинск;68309;4;53.7;91.68333333;4423000000;4723000001;739132;662600;0;UTC+7
71;https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BB%D0%B5%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Зеленогорск;62466;4;56.1;94.58333333;4537;4737000001;739169;663690;0;UTC+7
72;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA;Лесосибирск;59844;4;58.23333333;92.48333333;4422;4722000001;739145;;0;UTC+7
73;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%BE_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Назарово;50397;4;56.00638889;90.39138889;4426;4726000001;+7 39155;662200;0;UTC+7
74;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BE%D0%B1%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Сосновоборск;39375;4;56.13333333;93.36666667;4433;4733000001;739131;662500, 662501;0;UTC+7
