;href;lat;long;name;name_reg;norm_name;norm_reg;oktmo;people;phone_code;post_ind;reg;square;timezone
28;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%BE%D1%82%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);45.43333333;40.56666667;Кропоткин;Краснодарский край;Кропоткин;Краснодарский;3618101001;79152;786138;352380–352396;3.0;0.0;UTC+3
29;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BF%D0%B0;44.89444444;37.31666667;Анапа;Краснодарский край;Анапа;Краснодарский;3703000001;75375;786133;;3.0;0.0;UTC+3
30;https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BB%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%D0%BA;44.56083333;38.07666667;Геленджик;Краснодарский край;Геленджик;Краснодарский;3708000001;74887;786141;;3.0;0.0;UTC+3
31;https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%B0%D0%B2%D1%8F%D0%BD%D1%81%D0%BA-%D0%BD%D0%B0-%D0%9A%D1%83%D0%B1%D0%B0%D0%BD%D0%B8;45.25861111;38.12472222;Славянск-на-Кубани;Краснодарский край;Славянск-на-Кубани;Краснодарский;3645101001;66014;786146;353560;3.0;0.0;UTC+3
32;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B0%D0%BF%D1%81%D0%B5;44.1;39.08333333;Туапсе;Краснодарский край;Туапсе;Краснодарский;3655101001;62841;786167;352800;3.0;0.0;UTC+3
33;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;44.63333333;40.73333333;Лабинск;Краснодарский край;Лабинск;Краснодарский;3630101001;60889;786169;;3.0;0.0;UTC+3
34;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%BE%D1%80%D0%B5%D1%86%D0%BA;45.85;40.11666667;Тихорецк;Краснодарский край;Тихорецк;Краснодарский;3654101001;58982;786196;;3.0;0.0;UTC+3
35;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BC%D1%81%D0%BA;44.93333333;38.0;Крымск;Краснодарский край;Крымск;Краснодарский;3625101001;57254;786131;353380 — 353389;3.0;0.0;UTC+3
36;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D0%B0%D1%88%D1%91%D0%B2%D1%81%D0%BA;45.61666667;38.93333333;Тимашёвск;Краснодарский край;Тимашевск;Краснодарский;3653101001;52527;786130;3527хх;3.0;0.0;UTC+3
37;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%81%D0%BA;44.76666667;39.86666667;Белореченск;Краснодарский край;Белореченск;Краснодарский;3608101001;52264;786155;352630 — 352636;3.0;0.0;UTC+3
38;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%BD%D1%81%D0%BA;44.88333333;40.6;Курганинск;Краснодарский край;Курганинск;Краснодарский;3627101001;48964;786147;;3.0;0.0;UTC+3
39;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;46.08333333;38.95;Каневская;Краснодарский край;Каневская;Краснодарский;3620402101;44386;786164;;3.0;0.0;UTC+3
