norm_name;num;href;name;square;people;adm_center;num_reg;num_city;okato;num_mun_reg;num_mun_city;FederalDistrictName;FederalDistrictID
Ивановская;41;https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Ивановская область;21437;1023170;Иваново;21;6;24;21;6;Центральный федеральный округ;1
Иркутская;42;https://ru.wikipedia.org/wiki/%D0%98%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Иркутская область;774846;2408901;Иркутск;33;14;25;27;9;Сибирский федеральный округ;7
Калининградская;43;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Калининградская область;15125;986261;Калининград;13;6;27;15;7;Северо-Западный федеральный округ;2
Калужская;44;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Калужская область;29777;1014570;Калуга;24;4;29;24;2;Центральный федеральный округ;1
Кемеровская;45;https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BC%D0%B5%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Кемеровская область;95725;2708844;Кемерово;19;18;32;18;16;Сибирский федеральный округ;7
Кировская;46;https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Кировская область;120374;1291684;Киров;39;5;33;39;6;Приволжский федеральный округ;5
Костромская;47;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Костромская область;60211;648157;Кострома;24;8;34;24;6;Центральный федеральный округ;1
Курганская;48;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B3%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Курганская область;71488;854109;Курган;24;9;37;24;2;Уральский федеральный округ;6
Курская;49;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Курская область;29997;1122893;Курск;28;5;38;28;5;Центральный федеральный округ;1
Ленинградская;50;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Ленинградская область;83908;1791916;Санкт-Петербург;17;20;41;17;1;Северо-Западный федеральный округ;2
Липецкая;51;https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BF%D0%B5%D1%86%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Липецкая область;24047;1156221;Липецк;18;2;42;18;2;Центральный федеральный округ;1
